site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,poly_min_size,poly_min_size_high_certainty,source_file
id_5231678,1,Zambia_0.05_n_600-624.csv,,raw,25.988777955871385,-17.07208544778199,False,1,2023,7,13,1,0.0,False,0.0,,,,,JL_600-624
id_5231678,1,Zambia_0.05_n_600-624.csv,,raw,25.988777955871385,-17.07208544778199,False,2,2018,6,17,1,0.0,False,0.0,,,,,JL_600-624
id_5231678,1,Zambia_0.05_n_600-624.csv,,raw,25.988777955871385,-17.07208544778199,False,3,2017,6,16,1,0.0,False,0.0,,,,,JL_600-624
id_5231678,1,Zambia_0.05_n_600-624.csv,,raw,25.988777955871385,-17.07208544778199,False,4,2016,8,2,1,0.0,False,0.0,,,,,JL_600-624
id_5223399,2,Zambia_0.05_n_600-624.csv,,raw,26.33730205086276,-16.83850703239724,False,1,2023,10,2,2,0.02163836868349193,False,0.0,108.11694312517864,,102.27105978260154,,JL_600-624
id_5222588,3,Zambia_0.05_n_600-624.csv,,raw,27.548086941854017,-16.81172680540091,True,1,2020,8,24,2,0.041927177342399105,False,0.0,104.74373936795543,,37.43440107291414,,JL_600-624
id_5222588,3,Zambia_0.05_n_600-624.csv,,raw,27.548086941854017,-16.81172680540091,True,2,2017,10,24,1,0.0,False,0.0,,,,,JL_600-624
id_5219653,4,Zambia_0.05_n_600-624.csv,,raw,27.960595725475123,-16.728865655121258,False,1,2019,9,5,2,0.009454301686940553,False,0.0,94.49311604030022,,94.49311604030022,,JL_600-624
id_5207436,5,Zambia_0.05_n_600-624.csv,,raw,26.273302013279665,-16.38632673074754,False,1,2023,6,10,1,0.0,False,0.0,,,,,JL_600-624
id_5183104,6,Zambia_0.05_n_600-624.csv,,raw,22.63730876415122,-15.368401616725867,True,1,2023,7,30,1,0.0,False,0.0,,,,,JL_600-624
id_5183104,6,Zambia_0.05_n_600-624.csv,,raw,22.63730876415122,-15.368401616725867,True,2,2018,6,27,4,0.1340677908329267,False,0.1340677908329267,269.3751582827872,269.3751582827872,41.05514792743967,41.05514792743967,JL_600-624
id_5179991,7,Zambia_0.05_n_600-624.csv,,raw,23.14996477128549,-15.296659275120806,False,1,2022,10,6,5,0.047744318174923334,False,0.047744318174923334,95.81765107804463,95.81765107804463,27.711910905521528,27.711910905521528,JL_600-624
id_5179991,7,Zambia_0.05_n_600-624.csv,,raw,23.14996477128549,-15.296659275120806,False,2,2022,8,20,1,0.0,False,0.0,,,,,JL_600-624
