site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,source_file
id_5205594,8,Zambia_0.05_n_201-225.csv,,KL,27.181607268749552,-16.324222949338946,False,1,2023,6,17,3,0.02186896617197159,False,0.007732494207510875,87.820959915027,77.26244094099594,KL_v2_201-225
id_5205594,8,Zambia_0.05_n_201-225.csv,,KL,27.181607268749552,-16.324222949338946,False,2,2018,10,20,4,0.055349750801285284,False,0.03036738169486555,119.83497927900818,151.71431994588846,KL_v2_201-225
id_5199680,9,Zambia_0.05_n_201-225.csv,,KL,26.63895678194613,-16.143191076927398,True,1,2023,10,15,4,0.010262100225732988,False,0.010262100225732988,102.54496754916536,102.54496754916536,KL_v2_201-225
id_5199680,9,Zambia_0.05_n_201-225.csv,,KL,26.63895678194613,-16.143191076927398,True,2,2020,9,16,5,0.15727399222516428,False,0.15727399222516428,2639.655543547274,2639.655543547274,KL_v2_201-225
id_5199680,9,Zambia_0.05_n_201-225.csv,,KL,26.63895678194613,-16.143191076927398,True,3,2016,10,31,5,0.025601766150494906,False,0.025601766150494906,847.5360073838403,847.5360073838403,KL_v2_201-225
id_5159086,14,Zambia_0.05_n_201-225.csv,,KL,27.477660392220955,-14.804956925343737,True,1,2018,8,29,2,0.012609394936342546,False,0.0,126.0012249240892,,KL_v2_201-225
id_5159086,14,Zambia_0.05_n_201-225.csv,,KL,27.477660392220955,-14.804956925343737,True,2,2017,9,12,1,0.0,False,0.0,,,KL_v2_201-225
id_5148246,17,Zambia_0.05_n_201-225.csv,,KL,23.942973028470377,-14.460091558125203,False,1,2023,7,19,1,0.0,False,0.0,,,KL_v2_201-225
id_5148246,17,Zambia_0.05_n_201-225.csv,,KL,23.942973028470377,-14.460091558125203,False,2,2020,10,12,1,0.0,False,0.0,,,KL_v2_201-225
id_5148246,17,Zambia_0.05_n_201-225.csv,,KL,23.942973028470377,-14.460091558125203,False,3,2017,7,19,1,0.0,False,0.0,,,KL_v2_201-225
id_3603781,16,Zambia_0.05_n_201-225.csv,,KL,31.259563361229404,-14.500631691813211,True,1,2023,6,6,4,0.15962822536345783,False,0.08502207133439042,320.66847783465454,284.6606841291029,KL_v2_201-225
id_3603781,16,Zambia_0.05_n_201-225.csv,,KL,31.259563361229404,-14.500631691813211,True,2,2022,10,17,2,0.03006684493580042,False,0.0,302.00411230930405,,KL_v2_201-225
id_3603781,16,Zambia_0.05_n_201-225.csv,,KL,31.259563361229404,-14.500631691813211,True,3,2019,6,26,5,0.26701942371218834,False,0.1997994129022925,894.0023371996858,2006.8336947400435,KL_v2_201-225
