site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,coverage_outlier,percent_coverage_high_certainty,poly_avg_size,poly_avg_size_high_certainty,poly_min_size,poly_min_size_high_certainty,source_file
id_5092601,18,Zambia_0.05_n_101-125.csv,Anna Boser,AB,24.960879112558818,-12.501002119335134,FALSE,1,2024,7,12,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5106265,17,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.317228869056635,-13.014930672050308,TRUE,1,2023,7,16,5,0.13699728233120495,FALSE,0.13699728233120495,342.23297744135357,342.23297744135357,160.92592475650355,160.92592475650355,AB_JL_101-125
id_5106265,17,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.317228869056635,-13.014930672050308,TRUE,2,2019,9,16,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5215242,3,Zambia_0.05_n_101-125.csv,Anna Boser,AB,26.56308708344337,-16.613122248631264,TRUE,1,2016,10,31,5,0.05673998726103418,FALSE,0.05673998726103418,188.99369331757464,188.99369331757464,151.86987954051676,151.86987954051676,AB_JL_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.02012755987878,-13.510387499928614,FALSE,1,2023,8,3,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.02012755987878,-13.510387499928614,FALSE,2,2017,6,4,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5121300,15,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.02012755987878,-13.510387499928614,FALSE,3,2016,8,2,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5248727,1,Zambia_0.05_n_101-125.csv,Anna Boser,AB,26.240499223745218,-17.561268679796285,FALSE,1,2023,8,11,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5248727,1,Zambia_0.05_n_101-125.csv,Anna Boser,AB,26.240499223745218,-17.561268679796285,FALSE,2,2019,6,1,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5220217,2,Zambia_0.05_n_101-125.csv,NA,AB,26.62845327146636,-16.748844422177925,FALSE,1,2016,10,31,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5120065,16,Zambia_0.05_n_101-125.csv,Anna Boser,AB,26.236829567992093,-13.47513515854939,TRUE,1,2023,7,24,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.54000900267712,-13.896421849035953,TRUE,1,2018,10,3,5,0.28033866964244336,FALSE,0.2786553141318568,363.82371322512904,398.0333540738488,124.3562272840906,197.4920030938,AB_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.54000900267712,-13.896421849035953,TRUE,2,2018,9,16,5,0.2915168802396432,FALSE,0.2915168802396432,582.9661515164605,582.9661515164605,450.9019267262346,450.9019267262346,AB_JL_101-125
id_5133803,12,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.54000900267712,-13.896421849035953,TRUE,3,2016,9,1,5,0.3631740237845426,TRUE,0.3528281604743415,907.8286761589798,1175.956654725282,103.44474046007352,477.1674780945741,AB_JL_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.61153949085305,-16.097420358722548,FALSE,1,2023,6,22,5,0.03314040436990837,FALSE,0.03314040436990837,110.38967759780502,110.38967759780502,36.73969280202123,36.73969280202123,AB_JL_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.61153949085305,-16.097420358722548,FALSE,2,2021,6,17,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5198343,6,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.61153949085305,-16.097420358722548,FALSE,3,2019,7,27,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.69635912194645,-16.286994171812346,TRUE,1,2023,6,17,5,0.26501333630831797,FALSE,0.26501333630831797,269.06200965520037,269.06200965520037,25.60478142679569,25.60478142679569,AB_JL_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.69635912194645,-16.286994171812346,TRUE,2,2021,9,5,5,0.04736024554327186,FALSE,0.04736024554327186,78.37447594074798,78.37447594074798,24.562733195264975,24.562733195264975,AB_JL_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.69635912194645,-16.286994171812346,TRUE,3,2021,6,17,5,0.02846132671724751,FALSE,0.02846132671724751,142.21445200437253,142.21445200437253,116.44753299156892,116.44753299156892,AB_JL_101-125
id_5204478,5,Zambia_0.05_n_101-125.csv,Anna Boser,AB,27.69635912194645,-16.286994171812346,TRUE,4,2019,7,27,5,0.0883986004857486,FALSE,0.0883986004857486,235.37286367397135,235.37286367397135,58.08240495720909,58.08240495720909,AB_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.733099770105856,-13.732435532730667,FALSE,1,2018,10,6,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5128827,13,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.733099770105856,-13.732435532730667,FALSE,2,2016,9,1,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5128501,14,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.039553616748982,-13.72729035126831,FALSE,1,2023,8,3,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5128501,14,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.039553616748982,-13.72729035126831,FALSE,2,2021,9,16,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5128501,14,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.039553616748982,-13.72729035126831,FALSE,3,2020,10,17,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,Anna Boser,AB,23.668267383705523,-15.449433701871074,FALSE,1,2023,8,1,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,Anna Boser,AB,23.668267383705523,-15.449433701871074,FALSE,2,2018,7,4,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5185003,8,Zambia_0.05_n_101-125.csv,Anna Boser,AB,23.668267383705523,-15.449433701871074,FALSE,3,2017,9,17,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5047466,22,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.69441336279321,-10.559789003626166,FALSE,1,2023,6,12,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5047466,22,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.69441336279321,-10.559789003626166,FALSE,2,2020,9,3,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5062566,21,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.862556495732075,-11.15545729747778,FALSE,1,2024,8,27,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5062566,21,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.862556495732075,-11.15545729747778,FALSE,2,2019,6,14,4,0.04952100806708822,FALSE,0.04952100806708822,495.31709580743984,495.31709580743984,495.31709580743984,495.31709580743984,AB_JL_101-125
id_5171629,10,Zambia_0.05_n_101-125.csv,Anna Boser,AB,24.482392768826912,-15.107879807500575,FALSE,1,2023,7,24,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.0929278918455,-15.191571726460833,FALSE,1,2017,8,28,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_5174895,9,Zambia_0.05_n_101-125.csv,Anna Boser,AB,28.0929278918455,-15.191571726460833,FALSE,2,2016,8,12,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_1045543,24,Zambia_0.05_n_101-125.csv,Anna Boser,AB,31.611147224629907,-9.201089565713376,FALSE,1,2020,9,8,3,0.2149153082502379,FALSE,0.2149153082502379,1175.6753289168807,1175.6753289168807,613.9252165481664,613.9252165481664,AB_JL_101-125
id_1045543,24,Zambia_0.05_n_101-125.csv,Anna Boser,AB,31.611147224629907,-9.201089565713376,FALSE,2,2018,7,25,4,0.04412000737179817,FALSE,0.04412000737179817,641.9039693771206,641.9039693771206,641.9039693771206,641.9039693771206,AB_JL_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,Anna Boser,AB,33.24314026470543,-12.309666542306966,TRUE,1,2023,10,27,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,Anna Boser,AB,33.24314026470543,-12.309666542306966,TRUE,2,2022,8,19,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,Anna Boser,AB,33.24314026470543,-12.309666542306966,TRUE,3,2021,6,22,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
id_3511469,19,Zambia_0.05_n_101-125.csv,Anna Boser,AB,33.24314026470543,-12.309666542306966,TRUE,4,2021,6,16,1,0,FALSE,0,NA,NA,NA,NA,AB_JL_101-125
