id,YCoordinate,XCoordinate
id_5239815,-17.313388063844688,25.54526157049458
id_5239216,-17.296825630084932,25.771171172212373
id_5204457,-16.28754993397463,27.49980952773164
id_5194884,-15.962289768961556,27.414894215992685
id_5194559,-15.93017159078723,23.81906170586777
id_5175622,-15.210800707998152,27.82304489289932
id_5138259,-14.072264949027067,26.37382470502405
id_5135075,-13.941556969470744,28.549562580018204
id_5129915,-13.772831264028186,27.95650654044317
id_3561544,-13.746293045929985,32.208570052123335
id_5118339,-13.409472786329951,28.33369679131026
id_5110338,-13.13352333265504,24.946560389945176
id_5106321,-13.013234402182343,27.990394118972738
id_5106751,-13.007032868671768,29.981112503815734
id_5086937,-12.336902207869755,26.96687729550357
id_3473837,-10.907979320502754,33.141268583638976
id_5053639,-10.751947058732426,29.65517611580043
id_5048565,-10.59377101487174,29.060076862014675
id_5046651,-10.529131780614104,29.260583832716563
id_5046334,-10.52367653405492,28.68508012215657
id_3448402,-10.31027575493719,32.27335347209968
id_5040211,-10.288997205210448,28.61078818433716
id_5040060,-10.275306552368844,29.368259913772523
id_1387821,-9.714585083852707,28.80021791032848
id_1377444,-8.99916212129991,29.03296207678754
