id,YCoordinate,XCoordinate
id_5212648,-16.511294715455662,23.463497658447704
id_5211277,-16.49232791368054,28.24983910503265
id_5206619,-16.359364882468302,26.32021612286428
id_5206501,-16.349904984546125,27.799567178984905
id_5183210,-15.411200419512149,27.05963536487328
id_5182223,-15.38366213734168,26.56575050975582
id_5174619,-15.147629522635963,22.41906854724657
id_5159859,-14.818152594947572,28.574197654772608
id_5156705,-14.740281993859154,27.932725325490072
id_3585074,-14.180174902189645,32.17928825860213
id_3577877,-14.060961574105148,31.78148436994532
id_3575174,-14.014706295324494,31.58730100021384
id_5128595,-13.72044722149444,29.11202853984139
id_3536481,-13.186040230008246,30.743582255125496
id_3527774,-12.974671908569954,30.367769755836907
id_5100434,-12.822647824815126,28.164701791288408
id_5097986,-12.73439067768799,27.464263161060973
id_3510851,-12.262893609761234,30.577153305785725
id_5055420,-10.803061864005528,29.99370826537307
id_5048557,-10.594240715997916,28.98699034021837
id_3448065,-10.302047762628996,32.985729694302904
id_5037664,-10.14314529248144,28.83816840400868
id_1390443,-9.836679530305735,29.502637049418293
id_1042037,-9.102828946714626,31.97547501155076
id_1368026,-8.37922946448188,29.873596351919428
