id,YCoordinate,XCoordinate
id_5254933,-17.74924451410242,25.86243499133793
id_5221557,-16.784746440731773,26.50639406920123
id_5210133,-16.42926589537451,22.922728011226045
id_5198591,-16.107107237091157,27.31232881475667
id_5197204,-16.061766994062598,27.39640129299848
id_5178132,-15.272452444140823,28.18646528135288
id_5175916,-15.221223508813663,27.236496106101
id_5175078,-15.179751877008147,23.74690654746986
id_5173232,-15.158007467246586,26.845467360247287
id_5170828,-15.083178778496135,23.94353457754972
id_5167161,-14.965883682021152,22.3487686100755
id_3593962,-14.331292880909505,31.622424601778576
id_3584515,-14.170428281036004,31.9940058370585
id_5138551,-14.077601587137597,28.476392916009274
id_5138601,-14.073871713480202,28.994885065487185
id_5135545,-13.9614365651923,28.23498909441377
id_5113272,-13.232778456552127,24.92728219800517
id_5110408,-13.140651882942375,27.741805012003034
id_5087242,-12.345893682141424,26.828905175867668
id_3498104,-11.528216542002074,31.509368460191634
id_3447651,-10.288328244646497,31.259915892319512
id_5037524,-10.1326927892769,29.07531087805492
id_1389835,-9.8138809216084,28.82809651598702
id_1028396,-8.803547362654447,31.70357116217928
id_1372029,-8.604175824102228,29.99327135291676
