id,YCoordinate,XCoordinate
id_5220928,-16.767214168977443,27.13510661072223
id_5217438,-16.67571039719955,26.309730865423
id_5200585,-16.170555401220255,27.16275731247106
id_5199178,-16.125081738326383,27.37782253543396
id_5191680,-15.81522667168522,28.10554916323675
id_5170107,-15.066356233436258,24.036708803375404
id_5162622,-14.89530738517688,27.5057495212704
id_5160038,-14.832542333349478,27.124535164552352
id_5151101,-14.5720133169245,28.86010962716882
id_5150455,-14.56133098236757,27.022268417831103
id_5147897,-14.455038272263629,28.794211526480723
id_3580693,-14.105043637556804,31.57748471397273
id_3572350,-13.963312699703222,32.21709278693374
id_3565561,-13.825494724245043,31.699459321941088
id_5130970,-13.808238651317165,25.86570745814313
id_5109759,-13.076885453332482,22.09249303508292
id_5107387,-13.025515042620404,29.944488134419075
id_5105746,-12.99408357994823,28.23925192000523
id_5098632,-12.761451134699149,27.501162682316984
id_5097297,-12.695248977268104,28.339079964981533
id_3514658,-12.465467768898517,31.04428764174768
id_5084817,-12.27307215938599,26.46113747772756
id_5042725,-10.382200804199588,29.5698622058768
id_5035895,-10.022343116534245,29.357282264246752
id_1035612,-8.949439450421698,32.112341053798
