id,YCoordinate,XCoordinate
id_5211765,-16.513582734923926,26.51645846098787
id_5205860,-16.33330277638554,26.8726631208418
id_5205269,-16.3151641205847,26.797784356055345
id_5203275,-16.24964094026139,27.99566309178557
id_5186782,-15.54557160217394,26.25767771869248
id_5184303,-15.447296697494776,26.817291143854607
id_5177453,-15.253862486248943,28.27946974384289
id_5171733,-15.121369981189444,27.48766817386869
id_5165650,-14.96096236227203,28.816942243890583
id_5156389,-14.728735100501805,28.424957299246
id_5155505,-14.70488395182168,24.830519064518622
id_5152161,-14.61162007776506,28.35922053580391
id_5150532,-14.55743981615428,28.349607600607268
id_5143755,-14.25892549361522,22.160311664724805
id_5140294,-14.14167981244175,29.476967707998345
id_5127794,-13.69628334378051,28.73283452755744
id_5126838,-13.650433811761948,29.795061371294643
id_3546267,-13.41249418095756,32.4960084148876
id_5111969,-13.194588779340004,27.843475582711605
id_5104454,-12.960560900162998,27.40013948725908
id_5096751,-12.680010867381254,26.46950491686022
id_3509734,-12.196265686684374,30.2195768700988
id_1057278,-9.582185868005462,31.992296303267857
id_1044015,-9.158001752407806,32.37576536308823
id_1038116,-8.999307375910973,30.99352387397193
