id,YCoordinate,XCoordinate
id_5244380,-17.441760533283183,25.82669613099597
id_5238260,-17.259309065434607,24.614764942362555
id_5197109,-16.06070762685955,26.21840335625854
id_5186162,-15.51943497762466,26.658711589681605
id_5168913,-15.013746843432047,22.48687764885094
id_5151528,-14.597359674647466,27.254384658596315
id_5150253,-14.55187702186772,27.43998202095925
id_5144391,-14.331408451506508,28.35751643281572
id_3590451,-14.267635141013344,31.557933499368804
id_5142858,-14.256629692988405,28.73703229288404
id_3588830,-14.24141788739194,31.71564735172124
id_5141862,-14.199828224168906,23.40975033896053
id_5136409,-13.983263497843549,24.08810336332576
id_5132470,-13.843292109188257,29.50151167193627
id_5124357,-13.582669347620126,29.360209859433123
id_3543692,-13.358223079212593,32.4868866143402
id_3524948,-12.893741371889632,30.4054545980428
id_3522432,-12.808481954238276,30.986419335397525
id_5093888,-12.545473689685547,24.86853411781074
id_5088552,-12.381935776658963,27.31644513841109
id_3501586,-11.685718944578827,32.81132512614987
id_1391659,-9.909634634926071,29.412048427361665
id_1383230,-9.470543543440554,28.789824651812904
id_1377219,-8.98057132620207,29.12377642249613
id_1376723,-8.944622559921685,29.08720450856022
