id,YCoordinate,XCoordinate
id_5231730,-17.074503902774385,26.79698393603269
id_5221171,-16.774221162261558,26.074808140991014
id_5214363,-16.584620403220974,27.87551748725997
id_5198127,-16.08450787432682,28.424875659539268
id_5177437,-15.2546628563466,28.13049852321312
id_5165408,-14.95821008853554,24.865168845166785
id_5155467,-14.69867450314279,24.24586195201191
id_3577984,-14.06398643612544,32.84658808509332
id_5137236,-14.022665213286162,28.587137054947487
id_3573243,-13.978495337792392,31.57826550439026
id_3555634,-13.620382422977825,32.458592497175346
id_5122385,-13.533074678617048,28.805548626817977
id_5121313,-13.509869798893437,28.14023661349447
id_5115485,-13.30963458975044,28.406994608832864
id_5103977,-12.938326203904024,28.52469882024837
id_5103073,-12.91401564258685,27.92548116143703
id_3523632,-12.849114246719548,30.46115962895857
id_5100895,-12.842368546250936,27.704059667233928
id_3522623,-12.81402135010124,30.5719946315822
id_3522222,-12.807106517628286,32.86581386376705
id_5095054,-12.59755616023735,27.92433194600672
id_3513332,-12.409246288523764,33.040826366567046
id_5087738,-12.34208326612946,29.65181113159898
id_1055823,-9.520281030887274,32.80334520228618
id_1370073,-8.487366891835373,29.91069376377177
