site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_5035749,23,Zambia_0.05_n_275-299.csv,Update,MV,29.439268005998773,-10.012714003219576,true,1,2016,10,14,1
id_5124022,16,Zambia_0.05_n_275-299.csv,Update,MV,29.36935583489172,-13.57354719453566,true,1,2019,8,30,2
id_3564758,15,Zambia_0.05_n_275-299.csv,Update,MV,32.421148935620266,-13.810175799137705,true,1,2016,6,23,4
id_1036893,25,Zambia_0.05_n_275-299.csv,Update,MV,31.62111266903825,-8.975064270369892,false,1,2016,6,30,1
id_3591018,13,Zambia_0.05_n_275-299.csv,Update,MV,31.99352585651232,-14.278913393691418,true,1,2024,8,8,5
id_5135765,14,Zambia_0.05_n_275-299.csv,Update,MV,28.01286703798174,-13.971504176365224,true,1,2023,8,3,1
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,false,1,2016,8,12,5
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,false,2,2017,8,24,3
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,false,3,2018,8,18,5
id_5184870,9,Zambia_0.05_n_275-299.csv,Update,MV,28.05705637512893,-15.46293203600216,false,4,2018,10,14,1
id_5250890,2,Zambia_0.05_n_275-299.csv,Update,MV,27.041465731463003,-17.62599445461969,false,1,2023,6,22,2
id_5252967,1,Zambia_0.05_n_275-299.csv,Update,MV,26.79630518876733,-17.689166044352582,true,1,2023,6,30,1
id_5188854,8,Zambia_0.05_n_275-299.csv,Update,MV,28.1139992588477,-15.6524784786395,false,1,2016,6,1,4
id_5188854,8,Zambia_0.05_n_275-299.csv,Update,MV,28.1139992588477,-15.6524784786395,false,2,2016,8,12,1
id_5188854,8,Zambia_0.05_n_275-299.csv,Update,MV,28.1139992588477,-15.6524784786395,false,3,2017,8,28,1
id_5188854,8,Zambia_0.05_n_275-299.csv,Update,MV,28.1139992588477,-15.6524784786395,false,4,2017,9,18,1
id_5188854,8,Zambia_0.05_n_275-299.csv,Update,MV,28.1139992588477,-15.6524784786395,false,5,2023,6,4,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,1,2016,8,2,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,2,2017,6,16,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,3,2017,8,31,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,4,2019,8,9,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,5,2021,9,2,1
id_5240491,3,Zambia_0.05_n_275-299.csv,Update,MV,25.8367967155362,-17.333367857757608,false,6,2023,8,8,1
id_5182185,10,Zambia_0.05_n_275-299.csv,Update,MV,24.28380389944016,-15.367516238426024,true,1,2020,9,20,1
id_5182185,10,Zambia_0.05_n_275-299.csv,Update,MV,24.28380389944016,-15.367516238426024,true,2,2023,8,6,1
id_5163304,11,Zambia_0.05_n_275-299.csv,Update,MV,25.163047474943923,-14.906578821947512,false,1,2019,9,29,1
id_5163304,11,Zambia_0.05_n_275-299.csv,Update,MV,25.163047474943923,-14.906578821947512,false,2,2023,9,1,1
id_5230819,4,Zambia_0.05_n_275-299.csv,Update,MV,26.79701324245551,-17.047385589556736,false,1,2019,7,27,1
id_5230819,4,Zambia_0.05_n_275-299.csv,Update,MV,26.79701324245551,-17.047385589556736,false,2,2020,8,1,1
id_5230819,4,Zambia_0.05_n_275-299.csv,Update,MV,26.79701324245551,-17.047385589556736,false,3,2023,6,30,1
id_3516743,20,Zambia_0.05_n_275-299.csv,Update,MV,33.17893616117345,-12.562921804549546,true,1,2021,8,28,2
id_3516743,20,Zambia_0.05_n_275-299.csv,Update,MV,33.17893616117345,-12.562921804549546,true,2,2023,8,30,4
id_3516743,20,Zambia_0.05_n_275-299.csv,Update,MV,33.17893616117345,-12.562921804549546,true,3,2022,8,19,2
id_3535732,19,Zambia_0.05_n_275-299.csv,Update,MV,32.57954460278515,-13.177547664589795,true,1,2023,9,26,1
id_5076731,21,Zambia_0.05_n_275-299.csv,Update,MV,29.545862495856948,-11.828091338630967,false,1,2019,6,26,3
id_5076731,21,Zambia_0.05_n_275-299.csv,Update,MV,29.545862495856948,-11.828091338630967,false,2,2020,8,5,3
id_5203523,7,Zambia_0.05_n_275-299.csv,Update,MV,27.518457647942046,-16.26038544806175,false,1,2021,10,5,3
id_5203523,7,Zambia_0.05_n_275-299.csv,Update,MV,27.518457647942046,-16.26038544806175,false,2,2023,6,17,5
id_5207306,6,Zambia_0.05_n_275-299.csv,Update,MV,27.75286046605222,-16.377195304711126,true,1,2019,7,27,2
id_5207306,6,Zambia_0.05_n_275-299.csv,Update,MV,27.75286046605222,-16.377195304711126,true,2,2021,9,5,1
id_3450343,22,Zambia_0.05_n_275-299.csv,Update,MV,31.6795646367892,-10.36264840885022,false,1,2024,6,12,1
id_3597984,12,Zambia_0.05_n_275-299.csv,Update,MV,30.898765629135625,-14.398280828634002,false,1,2016,6,30,1
id_3538650,17,Zambia_0.05_n_275-299.csv,Update,MV,32.78250532077846,-13.241097655779791,true,1,2019,9,6,1
id_3538650,17,Zambia_0.05_n_275-299.csv,Update,MV,32.78250532077846,-13.241097655779791,true,2,2023,9,23,5
id_3538200,18,Zambia_0.05_n_275-299.csv,Update,MV,31.914939998721863,-13.229843823505156,false,1,2023,6,29,1
id_5216473,5,Zambia_0.05_n_275-299.csv,Update,MV,26.1785564173426,-16.648114554511785,false,1,2019,10,19,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,1,2016,9,15,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,2,2017,10,2,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,3,2018,6,2,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,4,2018,9,18,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,5,2019,6,30,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,6,2019,8,11,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,7,2020,8,22,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,8,2020,9,15,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,9,2021,9,11,1
id_1048735,24,Zambia_0.05_n_275-299.csv,Update,MV,32.77615659912958,-9.29414412999028,true,10,2022,7,13,4
