site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_3585591,8,Zambia_0.05_n_350-374.csv,,DSB,31.743749332909573,-14.1873279440733,true,1,2023,6,6,3
id_5137577,9,Zambia_0.05_n_350-374.csv,,DSB,22.67351237287872,-14.007259178301313,true,1,2023,8,17,1
id_5100794,14,Zambia_0.05_n_350-374.csv,,DSB,26.625829492903883,-12.84304556901112,false,1,2024,6,26,1
id_5100794,14,Zambia_0.05_n_350-374.csv,,DSB,26.625829492903883,-12.84304556901112,false,2,2022,6,24,1
id_3518417,15,Zambia_0.05_n_350-374.csv,,DSB,30.4357215202094,-12.63203489765614,false,1,2024,9,6,1
id_3518417,15,Zambia_0.05_n_350-374.csv,,DSB,30.4357215202094,-12.63203489765614,false,2,2017,9,18,1
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,1,2024,8,14,1
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,2,2021,9,12,3
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,3,2019,10,13,3
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,4,2018,6,6,2
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,5,2017,9,23,1
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,6,2017,7,18,4
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,7,2017,7,17,4
id_5084682,17,Zambia_0.05_n_350-374.csv,,DSB,27.88637436508584,-12.26312636642222,true,8,2016,7,14,3
id_3514243,16,Zambia_0.05_n_350-374.csv,,DSB,30.3732544435154,-12.441704991529056,true,1,2024,7,16,1
id_3514243,16,Zambia_0.05_n_350-374.csv,,DSB,30.3732544435154,-12.441704991529056,true,2,2017,9,18,1
id_3555216,12,Zambia_0.05_n_350-374.csv,,DSB,32.06112496398663,-13.610158627884504,false,1,2024,7,26,2
id_3555216,12,Zambia_0.05_n_350-374.csv,,DSB,32.06112496398663,-13.610158627884504,false,2,2021,7,16,1
id_5119276,13,Zambia_0.05_n_350-374.csv,,DSB,28.112226937866023,-13.446709724807818,false,1,2023,8,3,1
id_5119276,13,Zambia_0.05_n_350-374.csv,,DSB,28.112226937866023,-13.446709724807818,false,2,2021,9,16,1
id_5119276,13,Zambia_0.05_n_350-374.csv,,DSB,28.112226937866023,-13.446709724807818,false,3,2017,6,4,1
id_5119276,13,Zambia_0.05_n_350-374.csv,,DSB,28.112226937866023,-13.446709724807818,false,4,2016,8,2,1
id_5125283,11,Zambia_0.05_n_350-374.csv,,DSB,29.10182411616368,-13.612092647631366,true,1,2023,7,13,4
id_5125283,11,Zambia_0.05_n_350-374.csv,,DSB,29.10182411616368,-13.612092647631366,true,2,2020,7,14,4
id_5125283,11,Zambia_0.05_n_350-374.csv,,DSB,29.10182411616368,-13.612092647631366,true,3,2019,9,22,3
id_5125283,11,Zambia_0.05_n_350-374.csv,,DSB,29.10182411616368,-13.612092647631366,true,4,2016,8,1,3
id_5125874,10,Zambia_0.05_n_350-374.csv,,DSB,28.769337075155068,-13.632756277373682,false,1,2018,10,6,1
id_5125874,10,Zambia_0.05_n_350-374.csv,,DSB,28.769337075155068,-13.632756277373682,false,2,2016,9,1,1
id_5037373,21,Zambia_0.05_n_350-374.csv,,DSB,29.11173994709541,-10.12342195558946,true,1,2020,10,4,1
id_5044645,20,Zambia_0.05_n_350-374.csv,,DSB,29.040913436415263,-10.458312437861766,true,1,2023,6,9,1
id_5044645,20,Zambia_0.05_n_350-374.csv,,DSB,29.040913436415263,-10.458312437861766,true,2,2020,10,4,1
id_1382885,22,Zambia_0.05_n_350-374.csv,,DSB,29.5725092303858,-9.438566245722452,true,1,2024,8,19,1
id_1382885,22,Zambia_0.05_n_350-374.csv,,DSB,29.5725092303858,-9.438566245722452,true,2,2019,7,9,1
id_1047777,23,Zambia_0.05_n_350-374.csv,,DSB,31.68371681475745,-9.264660673009535,true,1,2020,9,8,3
id_1047777,23,Zambia_0.05_n_350-374.csv,,DSB,31.68371681475745,-9.264660673009535,true,2,2018,7,25,1
id_5080086,18,Zambia_0.05_n_350-374.csv,,DSB,26.96691650937558,-12.020387789934912,true,1,2024,8,22,1
id_5062577,19,Zambia_0.05_n_350-374.csv,,DSB,28.963245212735,-11.154814839279414,false,1,2024,9,1,2
id_5062577,19,Zambia_0.05_n_350-374.csv,,DSB,28.963245212735,-11.154814839279414,false,2,2019,6,14,1
id_1038595,25,Zambia_0.05_n_350-374.csv,,DSB,31.98482800065203,-9.0124180895378,true,1,2024,7,21,1
